# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 0
# model = model_f26f5fbf43_model
# start_datetime = 2023-08-27 21:49:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /tmp/RtmpfD8nSs/standata-f2632c2df3.json
# init = 2 (Default)
# random
#   seed = 949436583
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model/model_0468bb5407fbaa407fffd48330a4259e-202308272149-2-89392f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model/model_0468bb5407fbaa407fffd48330a4259e-profile-202308272149-2-78264e.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 2c6fa27
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,b.13,b.14,Intercept,sigma,b_Intercept
-408406,0.766698,0.334714,3,15,0,408409,-0.0453559,-0.47819,0.544703,-0.200222,0.0169722,-0.0407599,0.146094,0.651435,2.66928,1.05036,1.68575,-1.02856,-0.635247,-1.00058,45.0958,14.3782,44.0645
-408406,0.967562,0.334714,3,15,0,408414,-0.0334514,-0.382839,0.510519,-0.171738,-0.0720803,-0.270011,0.270029,0.734966,2.78966,1.07149,2.00435,-0.757635,-0.413082,-1.17491,45.0907,14.3887,42.4061
-408403,0.689169,0.334714,3,7,0,408417,-0.11677,-0.428151,0.615993,-0.195996,-0.00513703,0.015511,0.253492,0.703131,2.52994,1.03974,1.8361,-0.870939,-0.624311,-0.787345,45.0836,14.3685,43.3558
-408401,0.924423,0.334714,3,15,0,408412,-0.127146,-0.366405,0.588914,-0.177695,0.0215951,-0.215512,0.207613,0.750434,2.77273,1.02199,1.49157,-1.03482,-0.757511,-1.34847,45.1215,14.3437,42.9646
-408401,0.918138,0.334714,4,15,0,408407,-0.144101,-0.348171,0.558827,-0.199398,0.0272348,-0.169245,0.235504,0.668029,2.74434,1.01744,1.62663,-1.06175,-0.785793,-1.47627,45.0788,14.3931,43.9597
-408403,0.628178,0.334714,3,7,0,408412,-0.120162,-0.342416,0.569042,-0.179533,0.154468,-0.128609,0.248637,0.70719,2.75651,1.0214,1.48997,-1.07767,-0.734958,-1.21124,45.1272,14.4256,43
-408405,0.778899,0.334714,3,7,0,408414,-0.124281,-0.393248,0.597569,-0.199025,-0.0322879,-0.159834,0.361765,0.687426,2.67768,1.03909,2.04248,-0.753912,-0.578324,-1.51004,45.141,14.363,43.5022
-408400,0.977503,0.334714,3,7,0,408409,-0.111936,-0.365204,0.591026,-0.186881,-0.0557187,-0.185046,0.383449,0.654549,2.67882,1.0585,1.69118,-0.985006,-0.688641,-1.05223,45.1465,14.4139,43.2354
-408403,0.869911,0.334714,3,7,0,408409,-0.0836432,-0.460207,0.640174,-0.200945,-0.0226125,-0.102309,0.409005,0.655209,2.58713,1.06757,1.98772,-0.894689,-0.688978,-1.05828,45.11,14.345,43.4834
-408406,0.830882,0.334714,3,15,0,408414,-0.070627,-0.411544,0.636029,-0.198993,-0.0817144,0.0234964,0.286898,0.689892,2.64003,1.0802,1.88234,-0.739321,-0.637583,-0.682391,45.1042,14.3886,42.8529
-408406,0.784732,0.334714,3,7,0,408414,-0.193755,-0.411332,0.642359,-0.176394,-0.131034,-0.22847,0.306828,0.684876,2.63325,1.03749,1.9672,-0.590393,-0.547125,-1.14182,45.0583,14.3684,43.0533
-408405,0.998786,0.334714,3,15,0,408412,-0.0909929,-0.375676,0.616997,-0.199341,0.0605421,-0.0768254,0.244187,0.665293,2.73033,1.1128,1.86394,-0.964966,-0.531405,-0.983065,45.1238,14.3958,43.014
-408404,0.931228,0.334714,4,15,0,408414,-0.0649457,-0.403562,0.639148,-0.183858,-0.0357122,-0.189104,0.133836,0.633328,2.90566,1.01867,1.89943,-0.849801,-0.645908,-1.19534,45.1251,14.363,42.9978
-408404,0.926559,0.334714,4,15,0,408414,-0.0722864,-0.355591,0.522308,-0.190761,0.0133335,-0.190616,0.402585,0.761407,2.5962,1.03062,1.5042,-1.11561,-0.979856,-1.38062,45.057,14.4408,43.2325
-408406,0.919211,0.334714,4,15,0,408415,-0.0698811,-0.374215,0.522437,-0.188597,0.0304057,-0.215119,0.368376,0.767453,2.45325,1.03416,1.5326,-1.16731,-0.983538,-1.30653,45.0354,14.4332,43.2951
-408402,0.991266,0.334714,4,15,0,408410,-0.158776,-0.352639,0.610471,-0.185235,-0.0682316,-0.0403766,0.243937,0.72708,2.61007,1.0918,1.45279,-1.12139,-0.805182,-1.58451,45.1295,14.3321,43.0443
-408401,0.986792,0.334714,3,15,0,408407,-0.112916,-0.410557,0.58136,-0.183373,0.112994,-0.141528,0.149868,0.688634,2.69871,1.03608,1.65149,-1.05164,-0.807834,-1.48994,45.0834,14.4198,43.4253
-408404,0.868694,0.334714,3,15,0,408410,-0.134933,-0.416751,0.657643,-0.19775,0.0895295,-0.286657,0.318489,0.734182,2.67611,1.03377,1.64123,-0.928099,-0.583896,-1.14552,45.2004,14.3483,43.4331
-408402,0.902606,0.334714,3,15,0,408412,-0.0393638,-0.487057,0.609745,-0.186539,-0.00306117,-0.0281967,0.174745,0.689447,2.70306,1.01126,1.84738,-0.896486,-0.725624,-0.955457,45.1296,14.3737,43.2716
-408403,0.961434,0.334714,4,15,0,408409,-0.0744396,-0.417325,0.615733,-0.18239,-0.000488972,0.0401348,0.123863,0.729457,2.69931,0.984906,1.80118,-0.832836,-0.50026,-1.33191,45.1435,14.4051,42.8414
-408405,0.842924,0.334714,4,15,0,408410,-0.0636035,-0.447735,0.639035,-0.187422,-0.102149,0.0388773,0.207369,0.739118,2.70897,0.98365,1.7224,-0.70418,-0.532227,-1.19446,45.1328,14.3337,42.8561
-408404,0.76021,0.334714,3,7,0,408415,-0.0530199,-0.400026,0.49228,-0.184345,-0.0175335,-0.325526,0.204913,0.742943,2.80387,1.0227,2.02479,-0.768208,-0.421093,-1.00547,45.0341,14.4047,43.1481
-408405,0.873969,0.334714,4,15,0,408415,-0.172254,-0.38234,0.690531,-0.177916,0.167578,0.167983,0.220713,0.668047,2.83276,1.00724,1.76631,-0.914589,-0.495467,-1.13444,45.1115,14.357,42.533
-408407,0.779723,0.334714,4,15,0,408413,-0.127741,-0.455083,0.658963,-0.198706,-0.255913,-0.499315,0.240836,0.711765,2.64124,1.07314,1.69342,-1.12796,-0.651341,-1.34442,45.0809,14.3434,43.9155
-408402,0.920544,0.334714,4,15,0,408414,-0.0921308,-0.394405,0.543752,-0.187735,-0.16262,-0.240338,0.3294,0.695635,2.72634,1.0635,1.3964,-1.1365,-1.07711,-1.37257,45.1017,14.4094,43.6661
-408402,0.887737,0.334714,4,15,0,408410,-0.0906549,-0.414643,0.619797,-0.187712,-0.185592,-0.2558,0.447158,0.698192,2.78236,1.05462,1.58792,-1.14783,-0.881441,-1.48566,45.1413,14.3425,43.2927
-408403,0.962969,0.334714,4,15,0,408410,-0.0872811,-0.403248,0.583519,-0.199441,-0.00613595,-0.312814,0.0871488,0.659496,2.86223,1.02541,1.69758,-0.840936,-0.629233,-1.0144,45.0396,14.4114,43.7699
-408404,0.770652,0.334714,4,15,0,408412,-0.165474,-0.311169,0.553364,-0.180168,-0.122544,0.065225,0.322532,0.704364,2.76491,1.08431,1.75252,-1.03192,-0.751093,-1.43143,45.1859,14.3501,42.9039
-408401,0.803534,0.334714,4,15,0,408412,-0.129303,-0.35924,0.587029,-0.173392,0.00139612,0.0505759,0.289771,0.664113,2.69389,1.04515,1.66007,-1.04538,-0.791703,-1.10507,45.1504,14.3637,42.8507
-408403,0.957347,0.334714,4,15,0,408407,-0.153173,-0.410015,0.632828,-0.190361,-0.213468,7.74243e-05,0.32431,0.753802,2.52912,1.06978,1.59889,-1.111,-0.814151,-1.54431,45.1337,14.3955,43.2786
-408402,0.877513,0.334714,4,15,0,408413,-0.0794814,-0.434394,0.600948,-0.193365,0.0552912,-0.174993,0.103468,0.65208,2.88388,1.03524,1.83642,-0.672535,-0.354936,-1.08626,45.0555,14.4123,43.3325
-408405,0.909594,0.334714,4,15,0,408410,-0.146767,-0.391277,0.605885,-0.173694,-0.207799,-0.0492459,0.397296,0.762138,2.53587,1.09456,1.66898,-1.0283,-0.65695,-1.12513,45.1578,14.4144,42.613
-408407,0.869425,0.334714,4,15,0,408418,-0.11361,-0.428181,0.56126,-0.176818,-0.174606,-0.30237,0.390545,0.791761,2.6034,1.02937,2.07766,-0.714959,-0.566874,-0.950103,45.1325,14.4324,42.9264
-408406,0.998838,0.334714,4,15,0,408412,-0.136669,-0.385727,0.621213,-0.190261,0.0239202,0.115447,-0.00954286,0.594194,2.80774,1.05304,1.99413,-0.694125,-0.42977,-1.11432,45.0705,14.398,43.2423
-408405,0.998017,0.334714,4,15,0,408413,-0.0851483,-0.45094,0.597615,-0.188898,-0.107671,-0.322802,0.345285,0.770983,2.57812,1.05942,1.63129,-1.08813,-0.969404,-0.974339,45.1694,14.3887,43.4348
-408401,0.957488,0.334714,4,15,0,408413,-0.0709568,-0.409099,0.616814,-0.190341,-0.105422,-0.128476,0.297896,0.661171,2.63081,1.06855,1.88016,-0.884317,-0.683958,-1.14734,45.1915,14.3978,43.168
-408400,0.834447,0.334714,4,15,0,408408,-0.0962033,-0.437333,0.602387,-0.19146,-0.141684,-0.151471,0.152533,0.649586,2.73257,1.10725,1.50663,-1.19353,-0.839429,-1.49793,45.0677,14.3613,43.6879
-408403,0.896341,0.334714,4,15,0,408408,-0.0909998,-0.478162,0.684814,-0.197868,-0.0105885,-0.287917,0.424586,0.648173,2.62309,1.08914,1.71113,-0.995051,-0.91996,-1.15501,45.0847,14.3641,43.4989
-408403,0.991601,0.334714,3,7,0,408406,-0.102879,-0.490847,0.668329,-0.192328,0.120151,-0.275304,0.374787,0.681437,2.59542,1.0943,1.68192,-1.05903,-0.820251,-1.29895,45.0908,14.3768,43.4202
-408398,0.840416,0.334714,3,7,0,408407,-0.103936,-0.45538,0.660752,-0.187422,-0.0799976,-0.0854021,0.186351,0.669832,2.64565,1.06982,1.44609,-1.10579,-0.876733,-1.33165,45.1019,14.3922,43.3843
-408401,0.866096,0.334714,3,15,0,408406,-0.129523,-0.475293,0.633337,-0.188224,-0.0523388,0.0379926,0.132487,0.733839,2.55842,1.06277,1.53586,-1.09386,-0.861218,-1.45689,45.0963,14.403,43.4955
-408402,0.978115,0.334714,4,15,0,408407,-0.130743,-0.47754,0.646223,-0.193135,-0.0073168,0.0253409,0.149086,0.72856,2.58467,1.04314,1.52564,-1.10503,-0.882178,-1.39075,45.0855,14.3896,43.6341
-408400,0.906186,0.334714,4,15,0,408407,-0.127004,-0.367937,0.599726,-0.183889,-0.155625,-0.147237,0.318701,0.669527,2.85613,1.06621,1.65951,-0.897751,-0.778192,-1.14729,45.1179,14.3924,43.0616
-408406,0.807288,0.334714,3,15,0,408411,-0.0911079,-0.432565,0.572832,-0.187133,-0.187248,-0.0742823,0.179765,0.755869,2.62056,0.981914,1.63595,-1.06109,-0.628509,-1.16944,45.1113,14.3158,43.5411
-408404,0.971916,0.334714,4,15,0,408413,-0.129742,-0.426615,0.700035,-0.193266,-0.158014,-0.0353595,0.146938,0.610688,2.69613,1.0529,1.85226,-0.608721,-0.376315,-0.831723,45.1385,14.376,43.1876
-408403,1,0.334714,4,15,0,408408,-0.15538,-0.430138,0.683752,-0.185082,-0.101541,-0.319501,0.277563,0.768279,2.8237,1.04461,1.94449,-0.760011,-0.458726,-1.11439,45.0651,14.3908,42.7225
-408401,0.976045,0.334714,3,15,0,408410,-0.0796858,-0.376051,0.519027,-0.185302,-0.0629558,-0.141015,0.357054,0.702504,2.69886,0.99504,1.66515,-1.03144,-0.749497,-1.31764,45.0925,14.3714,43.4579
-408408,0.750445,0.334714,4,15,0,408421,-0.178432,-0.529477,0.7659,-0.180855,0.0846374,-0.0592387,0.272486,0.778978,2.52076,1.06217,1.532,-1.23158,-0.952034,-1.62115,45.1151,14.4147,43.0266
-408405,0.992539,0.334714,4,15,0,408414,-0.103341,-0.404141,0.555313,-0.183362,-0.194143,0.0539157,0.225225,0.640041,2.93855,1.01643,1.37547,-1.27511,-0.953595,-1.36559,45.1517,14.3511,43.7992
-408407,0.77151,0.334714,3,7,0,408414,-0.114108,-0.417432,0.54135,-0.179304,-0.131205,-0.037604,0.230195,0.646217,2.90307,1.01362,1.44422,-1.27832,-0.950113,-1.3545,45.1623,14.3175,43.918
-408403,0.998634,0.334714,4,15,0,408413,-0.131051,-0.438339,0.702446,-0.189442,-0.0414495,-0.0922514,0.106434,0.746744,2.6806,1.05718,1.99783,-0.580393,-0.158609,-0.791168,45.1163,14.3938,42.5284
-408403,0.922753,0.334714,4,15,0,408413,-0.122922,-0.445998,0.672606,-0.192522,-0.0133517,-0.108527,0.147491,0.724715,2.68631,1.06657,1.94536,-0.519913,-0.196597,-1.0014,45.0942,14.3949,42.7781
-408402,0.98789,0.334714,4,15,0,408406,-0.120591,-0.343916,0.532777,-0.182758,-0.0518792,-0.0599484,0.283096,0.648799,2.72487,1.06251,2.14751,-0.618414,-0.347751,-0.637663,45.0936,14.3728,42.8965
-408402,0.948723,0.334714,4,15,0,408406,-0.131029,-0.485727,0.723409,-0.187633,-0.0751659,-0.219286,0.147761,0.726338,2.70928,1.02564,1.39813,-1.24247,-0.903392,-1.2269,45.1089,14.3842,43.4607
-408401,0.975871,0.334714,3,7,0,408407,-0.173896,-0.414804,0.666192,-0.195659,-0.128351,-0.142254,0.215111,0.711422,2.65747,1.04974,1.50012,-1.11648,-0.888152,-1.62787,45.1635,14.373,43.7709
-408402,0.849437,0.334714,4,15,0,408408,-0.159329,-0.464034,0.729269,-0.181655,-0.179667,-0.00887113,0.267825,0.637011,2.73283,1.05233,1.53617,-1.18497,-0.895721,-1.43504,45.1735,14.3699,43.3723
-408403,0.89076,0.334714,4,15,0,408408,-0.0271009,-0.427025,0.561281,-0.187611,-0.0204377,-0.209965,0.228891,0.744835,2.65562,1.03506,1.55443,-1.21677,-0.944036,-1.38859,45.0429,14.4235,43.2404
-408403,0.961782,0.334714,4,15,0,408408,-0.200772,-0.405411,0.687323,-0.181584,-0.0919776,-0.0851184,0.230857,0.666296,2.82395,1.08781,1.8383,-0.723629,-0.434387,-0.92067,45.1948,14.4152,42.9087
-408402,0.922464,0.334714,4,15,0,408414,-0.102455,-0.504745,0.701621,-0.192027,-0.0424662,-0.114559,0.316286,0.648714,2.72367,1.07028,1.84874,-0.834933,-0.551897,-1.19919,45.0244,14.3614,43.1633
-408403,0.852434,0.334714,4,15,0,408413,-0.129048,-0.474265,0.720459,-0.198102,-0.051732,-0.405883,0.326684,0.707266,2.74452,1.02963,1.53875,-1.13255,-0.905531,-1.26043,45.1801,14.3619,43.777
-408402,0.922432,0.334714,4,15,0,408409,-0.111114,-0.372386,0.54039,-0.175312,-0.0734957,0.130016,0.183528,0.688053,2.73913,1.07234,1.61507,-1.08516,-0.833121,-1.44925,45.025,14.3659,42.8924
-408401,0.770041,0.334714,3,15,0,408410,-0.0968879,-0.414525,0.600024,-0.189055,-0.0406361,-0.34774,0.139933,0.71496,2.65547,1.05307,1.4909,-0.992071,-0.636587,-1.08918,45.0982,14.3861,43.4655
-408404,0.927506,0.334714,3,7,0,408408,-0.108444,-0.462759,0.71278,-0.182191,-0.0536033,0.0742029,0.43487,0.657631,2.70409,1.04567,1.66419,-0.988403,-0.608664,-1.4502,45.1586,14.3883,42.7644
-408408,0.960114,0.334714,3,15,0,408413,-0.137789,-0.281488,0.491451,-0.195875,-0.0653549,-0.435733,0.177751,0.704731,2.73662,1.06583,1.31533,-1.15605,-0.682877,-1.32598,45.0594,14.3883,43.8821
-408407,0.979029,0.334714,4,15,0,408415,-0.116282,-0.375358,0.540558,-0.204801,-0.0892076,-0.422876,0.180198,0.693012,2.69028,1.11467,1.78833,-0.968214,-0.895535,-1.51884,45.0725,14.3607,44.0419
-408405,0.92466,0.334714,4,15,0,408417,-0.128301,-0.362039,0.611883,-0.189961,-0.0299907,-0.135425,0.296704,0.597037,2.93382,1.03413,1.17258,-1.27603,-0.959677,-1.4328,45.0834,14.4023,43.7342
-408408,0.751246,0.334714,4,15,0,408415,-0.122213,-0.410165,0.600944,-0.175327,-0.0703846,-0.0403005,0.168753,0.77705,2.36456,1.05674,2.13254,-0.732611,-0.206071,-0.629754,45.072,14.389,42.4102
-408402,0.98002,0.334714,4,15,0,408414,-0.121099,-0.484429,0.687647,-0.18253,-0.0902274,-0.00513065,0.266118,0.695446,2.68867,1.08183,1.98157,-0.720908,-0.536031,-1.14122,45.1894,14.3672,42.8081
-408402,0.87452,0.334714,4,15,0,408408,-0.0566846,-0.474033,0.622576,-0.188486,-0.129323,-0.28643,0.315002,0.659274,2.62179,1.05786,1.81457,-0.867153,-0.514611,-0.843813,45.1271,14.3988,43.3813
-408404,0.984145,0.334714,4,15,0,408410,-0.0663992,-0.471512,0.62635,-0.190574,-0.030578,0.0195259,0.0978134,0.713099,2.85018,1.02223,1.55321,-1.03217,-0.891722,-1.64766,45.0633,14.3607,43.3405
-408406,0.885284,0.334714,4,15,0,408415,-0.197764,-0.436634,0.757485,-0.188207,-0.0404024,-0.250234,0.406877,0.634549,2.67937,1.08463,1.57135,-1.10638,-1.04381,-1.26965,45.1452,14.3158,43.3965
-408404,0.995386,0.334714,4,15,0,408411,-0.0346078,-0.406152,0.508277,-0.177821,-0.124651,-0.0583657,0.187164,0.784659,2.71815,1.05927,1.85732,-0.804006,-0.378213,-0.940918,45.0687,14.3992,42.494
-408405,0.692896,0.334714,4,15,0,408417,-0.21569,-0.428193,0.750153,-0.197277,0.00118598,-0.133243,0.249837,0.655403,2.82451,1.07273,1.48236,-1.13167,-1.10425,-1.29387,45.1469,14.3814,43.6715
-408403,1,0.334714,4,15,0,408409,-0.0454631,-0.414228,0.534462,-0.184058,-0.087656,-0.232341,0.241666,0.7609,2.70436,1.00567,1.77491,-0.84802,-0.748665,-1.43191,45.0859,14.4065,43.1535
-408408,0.848627,0.334714,4,15,0,408414,-0.0995453,-0.469184,0.603185,-0.191208,-0.180445,-0.368679,0.360516,0.72587,2.55797,1.0265,1.58458,-1.013,-0.62916,-0.881587,45.1146,14.3345,43.806
-408402,0.997219,0.334714,4,15,0,408412,-0.139652,-0.406644,0.581207,-0.174818,0.0718023,0.0617321,0.13159,0.670859,2.79799,1.05578,1.51914,-1.00402,-0.661492,-1.21661,45.0906,14.3568,43.0937
-408401,0.668132,0.334714,3,15,0,408412,-0.128959,-0.377846,0.608592,-0.193987,0.0263864,0.010323,0.197442,0.65042,2.62611,1.04758,1.73896,-1.0193,-0.582443,-1.08712,45.1348,14.4034,43.4611
-408402,0.888308,0.334714,4,23,0,408408,-0.111083,-0.337622,0.619168,-0.190102,0.068514,-0.155559,0.200984,0.682812,2.68179,1.06183,1.83225,-1.02623,-0.701891,-1.05064,45.0943,14.4021,42.9012
-408400,0.90538,0.334714,3,15,0,408408,-0.0928423,-0.420046,0.552717,-0.184483,-0.103448,-0.0783824,0.391286,0.713545,2.69398,1.0444,1.89683,-0.917181,-0.729784,-1.22158,45.1275,14.3733,43.2256
-408406,0.751817,0.334714,4,15,0,408412,-0.155274,-0.322475,0.593812,-0.168406,-0.0434089,-0.0927167,0.209882,0.700542,2.81384,1.01493,1.79187,-0.739596,-0.332689,-1.20453,45.0384,14.3864,42.3467
-408405,0.951723,0.334714,4,15,0,408414,-0.164173,-0.355902,0.603528,-0.170873,-0.0540001,-0.0494729,0.210261,0.713545,2.81308,0.999153,1.63265,-0.689058,-0.366804,-1.13966,45.0589,14.3977,42.5777
-408410,0.891084,0.334714,4,15,0,408417,-0.0539804,-0.37788,0.625143,-0.191203,-0.0470626,-0.15439,0.353562,0.729391,2.80486,1.00636,1.61071,-1.16094,-1.17281,-1.38733,45.213,14.3829,43.0757
-408407,1,0.334714,4,15,0,408412,-0.109736,-0.366989,0.651247,-0.182672,-0.088926,-0.0419515,0.177506,0.69985,2.63551,1.08976,1.85879,-0.971648,-0.876547,-1.48811,44.9978,14.358,42.4658
-408407,0.993143,0.334714,4,15,0,408415,-0.165241,-0.403231,0.576724,-0.192555,-0.0597331,-0.238666,0.299731,0.694871,2.81837,1.01146,1.7316,-0.793656,-0.464696,-1.36023,45.1992,14.3148,43.8963
-408405,0.983562,0.334714,4,15,0,408413,-0.174701,-0.439118,0.676074,-0.192666,0.010484,-0.176004,0.24098,0.657884,2.63097,1.09575,1.56947,-0.872887,-0.597109,-1.00451,45.0555,14.454,43.4367
-408404,0.989594,0.334714,4,15,0,408412,-0.118391,-0.385873,0.511065,-0.185713,-0.0886864,-0.120809,0.267416,0.698511,2.81317,1.00352,1.58009,-0.917032,-0.519749,-1.40635,45.1446,14.4096,43.7181
-408402,1,0.334714,3,15,0,408408,-0.0940837,-0.435436,0.690864,-0.188203,-0.0995165,-0.152594,0.299455,0.722286,2.74063,1.02536,2.02658,-0.806206,-0.654226,-0.918881,45.0685,14.3688,42.6475
-408402,0.988893,0.334714,3,15,0,408410,-0.0985635,-0.426265,0.695422,-0.187598,-0.150852,-0.200808,0.330128,0.692752,2.74484,1.04004,1.98857,-0.843393,-0.637953,-1.00484,45.0496,14.3782,42.694
-408404,0.923834,0.334714,3,7,0,408413,-0.0700182,-0.46957,0.56095,-0.185434,-0.0244703,-0.397786,0.185287,0.697124,2.76661,1.10784,1.80652,-0.808357,-0.492383,-1.08959,45.1086,14.3511,43.3968
-408405,0.999602,0.334714,4,15,0,408411,-0.133551,-0.346322,0.567326,-0.198144,-0.0453864,0.0702143,0.0417013,0.651262,2.68744,1.0402,1.9922,-0.626199,-0.278683,-0.892725,45.1273,14.3718,43.41
-408410,0.745842,0.334714,3,7,0,408416,-0.137231,-0.345618,0.54761,-0.199949,-0.00218433,0.12538,0.0880041,0.646056,2.65397,1.03779,1.85078,-0.690642,-0.206813,-0.87706,45.1439,14.3455,43.5852
-408404,0.98557,0.334714,3,15,0,408418,-0.112851,-0.384834,0.639872,-0.175313,0.0734781,0.0239581,0.265613,0.688517,2.79795,1.03747,1.86386,-0.802273,-0.751045,-0.710096,45.0923,14.3832,42.331
-408407,0.89081,0.334714,4,15,0,408414,-0.148386,-0.33679,0.560323,-0.187386,0.0627702,-0.170278,0.267216,0.644602,2.88711,1.07504,1.25309,-1.02962,-0.856022,-1.1367,45.1305,14.372,43.4962
-408404,0.770583,0.334714,3,7,0,408418,-0.0981893,-0.403065,0.609354,-0.184972,-0.075036,0.0540347,0.0890437,0.722004,2.66799,1.02859,1.84524,-1.05459,-0.727697,-1.58147,45.0549,14.3734,43.0089
-408402,0.997091,0.334714,4,15,0,408410,-0.124908,-0.395466,0.666177,-0.197598,-0.0621167,-0.139749,0.368055,0.65062,2.6876,1.05659,1.71986,-1.03224,-0.965025,-1.38436,45.1557,14.3656,43.47
-408408,0.811875,0.334714,3,7,0,408413,-0.0729075,-0.466386,0.59544,-0.195572,-0.161621,-0.234777,0.493533,0.613054,2.73148,1.06572,1.75135,-0.94138,-0.58528,-1.07734,45.101,14.4515,43.791
-408405,0.995125,0.334714,4,15,0,408414,-0.132554,-0.412358,0.556212,-0.189056,0.0446644,-0.172908,-0.100324,0.713078,2.69958,1.08596,1.87758,-0.842171,-0.398568,-1.13735,45.1165,14.3769,43.5468
