# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7267a81a6_model
# start_datetime = 2023-03-30 08:01:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpO6pATb/standata-6b7446d01e8.json
# init = 2 (Default)
# random
#   seed = 1498873134
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300801-1-645afd.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300801-1-6a414b.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.400018
# Diagonal elements of inverse mass matrix:
# 0.000847122, 7.77607e-05, 0.00985608, 0.0197089, 0.00983852, 0.00151633, 0.0135105, 0.00108581, 0.0425844, 0.0360419, 0.0421492, 0.0590364, 0.00215368, 1.54924e-05
-408464,0.989442,0.400018,4,15,0,408472,0.0322699,-0.176717,-0.0334963,-0.084247,0.0238229,0.793502,2.84537,1.02455,1.54397,-0.892608,-0.601625,-1.18248,45.0494,14.417,43.1465
-408463,0.898213,0.400018,4,15,0,408470,0.00976128,-0.187222,-0.0248459,-0.169801,0.507163,0.700677,2.72106,1.08847,1.71925,-1.06217,-0.864096,-1.31587,45.1679,14.38,43.6434
-408461,0.91806,0.400018,3,7,0,408468,-0.01474,-0.186499,0.0524799,-0.0161257,0.157766,0.720853,2.76285,1.05622,1.63507,-1.07088,-0.77811,-1.30364,45.0502,14.409,43.5705
-408464,0.736184,0.400018,3,7,0,408468,0.0781233,-0.184638,0.0458535,-0.193737,0.265875,0.71625,2.57934,1.09091,1.73983,-0.956971,-0.874083,-1.33371,45.1497,14.3649,43.6236
-408466,0.843434,0.400018,4,15,0,408471,-0.0367763,-0.182721,-0.128969,-0.0562767,0.199867,0.682797,2.86676,1.03259,1.85458,-0.966746,-0.481504,-1.49114,45.062,14.3552,43.5929
-408467,0.869358,0.400018,3,15,0,408476,0.0391303,-0.180273,-0.210762,-0.0111912,0.101804,0.766751,2.8315,1.09435,1.95892,-0.687204,-0.546898,-0.683847,45.1538,14.4054,42.9786
-408469,0.904956,0.400018,3,7,0,408473,-0.0152951,-0.182701,0.0919154,-0.134702,0.262515,0.71654,2.51764,1.04474,1.54954,-0.874934,-0.537941,-1.57709,45.068,14.3751,43.5378
-408466,1,0.400018,3,7,0,408472,-0.0129585,-0.194918,-0.0862994,-0.18381,0.252169,0.74071,2.90599,1.07839,1.83547,-0.999845,-0.904341,-1.08902,45.1479,14.4051,43.7762
-408462,0.989787,0.400018,3,7,0,408468,-0.0276492,-0.191013,-0.138482,-0.180991,0.253405,0.697756,2.86473,1.04824,1.74064,-0.973876,-0.687327,-1.29223,45.1454,14.4307,43.927
-408460,0.974353,0.400018,3,15,0,408466,-0.0113347,-0.186797,-0.0539334,-0.121782,0.182011,0.700291,2.91201,1.03165,1.91375,-0.684146,-0.440738,-1.01992,45.081,14.3799,43.4929
-408463,0.846491,0.400018,3,7,0,408465,0.0530624,-0.186077,0.0383801,-0.108691,0.287121,0.776448,2.57012,1.11124,1.9005,-0.837064,-0.691339,-1.10997,45.1319,14.3892,43.1434
-408460,1,0.400018,3,7,0,408464,0.0127496,-0.185199,0.00332023,-0.0599545,0.195643,0.729675,2.56099,1.06647,1.90751,-0.788122,-0.473168,-1.2417,45.136,14.3901,43.4101
-408461,0.908336,0.400018,3,7,0,408466,0.028101,-0.172775,0.0271572,-0.0437379,0.222509,0.745549,2.64299,1.06657,1.97937,-0.752864,-0.491056,-0.993132,45.0542,14.3826,42.8079
-408464,0.516432,0.400018,4,15,0,408474,0.0081985,-0.187201,-0.0853251,-0.281446,0.104896,0.667584,2.84082,1.05531,2.1019,-0.699903,-0.499618,-1.02247,45.1449,14.3653,43.8078
-408464,0.978202,0.400018,3,15,0,408470,-0.00122082,-0.178191,-0.071262,-0.00793728,0.217929,0.799213,2.43614,1.07377,1.72762,-0.968502,-0.803062,-1.12441,45.0577,14.3902,43.0546
-408464,0.81853,0.400018,4,15,0,408472,0.0725516,-0.176339,0.0137554,0.00517279,0.203398,0.788165,2.68312,1.06066,1.91069,-0.651774,-0.38399,-1.26252,45.1503,14.3866,42.7918
-408460,1,0.400018,3,7,0,408468,0.0133007,-0.185304,-0.021722,-0.00316811,0.182674,0.659755,2.77626,1.0752,1.82227,-0.734907,-0.548975,-0.894422,45.0938,14.3708,43.4766
