# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7e74943c_model
# start_datetime = 2023-03-30 08:16:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/RtmpO6pATb/standata-6b76b52411c.json
# init = 2 (Default)
# random
#   seed = 708574377
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300816-1-3ff3cc.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300816-1-42cd99.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.369919
# Diagonal elements of inverse mass matrix:
# 0.000978229, 5.9292e-05, 0.00945803, 0.0159232, 0.00992416, 0.00142699, 0.0128415, 0.00104666, 0.0416525, 0.0315736, 0.0370257, 0.0532227, 0.00242375, 1.5075e-05
-408465,0.972344,0.369919,3,15,0,408474,0.000425981,-0.173723,-0.00188514,0.0625394,0.260046,0.672965,2.58208,1.11876,1.667,-1.06506,-0.841433,-1.37252,45.0095,14.3998,43.1317
-408462,0.959217,0.369919,3,7,0,408470,0.0109567,-0.186647,-0.174311,0.0838887,0.197416,0.774766,2.53949,1.07977,1.58357,-0.990423,-0.742425,-1.29326,45.09,14.3767,43.3743
-408463,0.962139,0.369919,3,7,0,408467,-0.00352796,-0.173705,-0.165826,0.0490455,0.133258,0.774335,2.56838,1.07611,1.63709,-1.04652,-0.790639,-1.37926,45.1442,14.4207,43.1628
-408463,0.787287,0.369919,4,15,0,408470,0.0278868,-0.185754,-0.0267573,0.0285082,0.107539,0.762213,2.57526,1.11804,1.65198,-0.843531,-0.659663,-1.01635,45.0947,14.3524,43.1847
-408462,0.995845,0.369919,4,15,0,408467,0.0210968,-0.185388,-0.0372235,-0.174391,0.168314,0.691677,2.98597,1.00198,1.79236,-0.839716,-0.568367,-0.986519,45.0656,14.4085,43.6974
-408467,0.770179,0.369919,4,23,0,408474,0.0427031,-0.192781,-0.138329,-0.127253,0.147054,0.756422,3.04483,1.04153,1.53051,-1.00435,-0.798358,-1.06701,45.079,14.3718,43.7249
-408468,0.92893,0.369919,3,15,0,408480,0.0253913,-0.194582,-0.155655,-0.0534267,0.0705654,0.764271,2.95085,1.05477,1.57512,-1.13071,-0.847889,-1.16833,45.0535,14.4054,43.7759
-408468,1,0.369919,3,15,0,408475,0.0136818,-0.184118,-0.0639927,-0.297986,0.261255,0.728507,2.38353,1.11578,1.69962,-0.866498,-0.620286,-1.44988,45.1267,14.3786,43.5812
-408467,0.966554,0.369919,4,15,0,408475,-0.00870517,-0.175968,0.0205741,0.0303061,0.344246,0.721178,2.94994,1.08421,1.81255,-0.785959,-0.723952,-1.40256,45.123,14.3827,42.8899
-408462,1,0.369919,4,15,0,408472,0.0186035,-0.193509,-0.0596326,-0.0769321,0.185436,0.773234,2.73115,1.09416,1.94744,-0.731089,-0.493898,-0.959688,45.0815,14.3813,43.267
-408467,0.956396,0.369919,3,7,0,408471,0.0304194,-0.195169,-0.0202123,-0.249017,0.086812,0.604026,2.68723,1.10282,1.83118,-0.67601,-0.379577,-0.988939,45.045,14.3971,44.0452
-408463,0.997869,0.369919,3,7,0,408469,0.0319333,-0.198391,-0.0396733,-0.111737,0.107429,0.647045,2.76483,1.10208,1.93967,-0.647407,-0.517326,-1.01441,45.0478,14.4188,43.8394
-408464,0.904135,0.369919,3,7,0,408470,0.0100899,-0.177728,-0.0839187,-0.206338,0.0986967,0.670599,3.04626,1.07203,1.77422,-0.707431,-0.398505,-1.02801,45.1263,14.3598,43.3706
-408465,0.880159,0.369919,3,7,0,408472,0.00530994,-0.179826,-0.0501443,-0.175064,0.185312,0.666626,3.01256,1.07157,1.81775,-0.690989,-0.283802,-1.08665,45.1474,14.3323,43.3555
-408463,0.961745,0.369919,4,15,0,408471,0.00930679,-0.188776,0.0338673,-0.258141,0.0200059,0.728874,2.90028,1.02725,1.92928,-0.775657,-0.489397,-1.00511,45.1402,14.4178,43.7337
-408468,0.75856,0.369919,4,15,0,408474,0.0416347,-0.186472,-0.129607,0.0409874,0.364188,0.642444,2.6266,1.09829,1.70343,-1.27416,-0.968817,-1.25866,45.0559,14.4406,43.8094
-408466,0.993924,0.369919,4,15,0,408474,-0.0163849,-0.189442,0.00787595,-0.283607,0.0629549,0.777545,2.72399,1.00795,1.69304,-1.08762,-0.738007,-1.35969,45.1578,14.3862,43.9894
-408460,0.931627,0.369919,3,15,0,408470,0.0243816,-0.186558,7.23985e-05,-0.0890471,0.292924,0.702859,2.67998,1.11147,1.96779,-0.675488,-0.564984,-0.971683,45.0739,14.3905,43.2023
