# stan_version_major = 2
# stan_version_minor = 31
# stan_version_patch = 0
# model = model_6b7267a81a6_model
# start_datetime = 2023-03-30 08:01:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /tmp/RtmpO6pATb/standata-6b7446d01e8.json
# init = 2 (Default)
# random
#   seed = 1498873134
# output
#   file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-202303300801-3-645afd.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/jrun/Conhecimentos-TPACK/chains/model_pca/model_0468bb5407fbaa407fffd48330a4259e-profile-202303300801-3-6a414b.csv
# num_threads = 8 (Default)
# stanc_version = stanc3 v2.31.0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,Intercept,sigma,b_Intercept
# Adaptation terminated
# Step size = 0.393777
# Diagonal elements of inverse mass matrix:
# 0.00112663, 6.35276e-05, 0.00879353, 0.0164624, 0.0100937, 0.0017946, 0.0145794, 0.000962764, 0.0374523, 0.0355456, 0.0465488, 0.057871, 0.00203582, 1.48037e-05
-408464,0.842535,0.393777,4,15,0,408473,0.0236355,-0.179645,-0.148777,0.0396535,0.232705,0.648911,2.97045,1.08571,2.10581,-0.651016,-0.514149,-0.955121,45.0601,14.4056,43.1123
-408464,0.932852,0.393777,4,15,0,408471,-0.0295962,-0.187111,0.062567,-0.227777,0.279806,0.795437,2.66884,1.062,1.95767,-0.970802,-0.696737,-1.21981,45.1277,14.4082,43.3639
-408466,0.901812,0.393777,4,15,0,408470,0.0371423,-0.175774,0.013856,0.0462855,0.30534,0.628432,2.81478,1.07664,1.68108,-0.712514,-0.549053,-1.16975,45.0663,14.425,43.1945
-408469,0.852656,0.393777,3,15,0,408475,0.0686503,-0.176407,0.0264018,0.0848577,0.335413,0.639953,2.84114,1.07858,1.84718,-0.790754,-0.176974,-0.98368,45.0703,14.4024,43.0136
-408462,0.962232,0.393777,4,15,0,408477,0.0126081,-0.189293,-0.182677,-0.0995832,0.444643,0.745423,2.69282,1.06845,1.76856,-0.927278,-0.749048,-1.16213,45.0817,14.3681,43.4575
-408465,0.823392,0.393777,4,15,0,408471,0.0352192,-0.196387,0.0483905,-0.00765708,0.0116598,0.700067,2.8585,1.07485,1.60177,-0.818194,-0.416748,-1.23528,45.1186,14.3657,43.7848
-408461,0.984428,0.393777,4,15,0,408468,0.0429628,-0.178037,-0.0142963,-0.00620269,0.101864,0.733023,2.75621,1.05519,1.74422,-0.87524,-0.55054,-1.33387,45.0734,14.4288,43.2112
-408459,0.905288,0.393777,4,15,0,408465,0.0652009,-0.187096,-0.0292159,-0.0475676,0.18757,0.723998,2.64142,1.0895,1.7386,-0.913017,-0.61901,-1.25489,45.0781,14.3912,43.4524
-408469,0.761916,0.393777,3,7,0,408472,-0.0504166,-0.190546,-0.024949,-0.221895,0.233344,0.718798,2.7602,1.07513,1.95587,-0.710195,-0.385674,-0.93274,45.2836,14.3728,43.6725
-408463,0.979598,0.393777,4,15,0,408474,0.0140034,-0.182243,0.00185278,-0.0283092,0.441347,0.677,2.87044,1.04637,1.61387,-1.1229,-0.841548,-1.36666,45.0678,14.3418,43.5339
-408465,0.71603,0.393777,3,15,0,408472,0.0338741,-0.179886,0.0285954,0.0185254,0.180934,0.736692,2.77093,1.02125,1.848,-0.950912,-0.421372,-1.04606,45.2092,14.4305,43.3692
-408464,0.928907,0.393777,4,15,0,408473,0.000572,-0.194295,-0.0891116,-0.216828,0.277687,0.673322,2.70757,1.10557,1.88887,-0.747137,-0.67417,-1.1535,44.9969,14.4022,43.6884
-408463,0.99262,0.393777,3,15,0,408468,0.00650271,-0.176095,-0.00406863,-0.043477,0.128921,0.799652,2.86565,1.00058,1.57762,-0.956734,-0.635779,-1.24975,45.1439,14.3805,43.2005
-408464,0.90925,0.393777,3,15,0,408468,-0.0056708,-0.185193,-0.19266,0.0530911,0.217285,0.738173,2.81072,1.01501,1.64222,-1.02184,-0.770823,-1.414,45.1869,14.3954,43.7088
-408462,0.841637,0.393777,4,15,0,408472,0.024998,-0.189959,0.104483,-0.152762,0.196099,0.696413,2.61686,1.11507,1.96659,-0.69431,-0.381754,-1.00596,45.0341,14.3926,43.3306
